,TypeName,make,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
289,911 Turbo S Cabrio PDK,PORSCHE,911,gelb,Cabriolet,3800,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,2,Allrad,4,2011,Benzin,530,schwarz,28000,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
290,Targa,PORSCHE,911,gelb,Cabriolet,2687,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,11,1971,Benzin,150,schwarz,96000,"""Ab MFK""",2,Schaltgetriebe manuell
291,3200 GT,MASERATI,3200 GT,gelb,Coupé,3217,Zuzwil,388 g/km,Occasion,null,15.6 l/100km,2,Hinterradantrieb,3,2000,Benzin,370,schwarz,64600,"""Ab MFK""",4,Automatik-Getriebe
292,S 400 CDI,MERCEDES-BENZ,S 400,gelb,Limousine,3996,Zuzwil,253 g/km,Occasion,G,9.6 l/100km,4,Hinterradantrieb,4,2001,Diesel,250,beige,42000,"""Ab MFK""",5,Automat
293,456M GT,FERRARI,456,gelb,Coupé,5474,Zuzwil,495 g/km,Occasion,G,22.0 l/100km,2,Hinterradantrieb,5,1999,Benzin,442,null,49000,"""Ab MFK""",4,Schaltgetriebe manuell
294,S6 quattro,AUDI,S6,gelb,Limousine,4172,Zuzwil,341 g/km,Occasion,null,14.2 l/100km,4,Allrad,8,2001,Benzin,340,schwarz,103100,"""Ab MFK""",5,Automatik-Getriebe
295,190 E 2.5-16 Evo II ABS,MERCEDES-BENZ,190,gelb,Limousine,2461,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,7,1991,Benzin,235,schwarz,89700,"""Ab MFK""",4,Schaltgetriebe manuell
296,626 2.0i-16V HPV,MAZDA,626,gelb,Limousine,1991,Zuzwil,195 g/km,Occasion,null,8.1 l/100km,5,Vorderradantrieb,8,2001,Benzin,136,null,158000,"""Ab MFK""",5,Automatik-Getriebe
297,2000 GLi Super Liftback,TOYOTA,CAMRY,gelb,Limousine,1994,Safenwil,null,Oldtimer,null,null,4,Vorderradantrieb,5,1985,Benzin,105,blau,58100,"""Ab MFK""",0,Automatik-Getriebe
298,Cayenne Turbo S,PORSCHE,CAYENNE,gelb,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,9,2006,Benzin,521,schwarz,91600,"""Ab MFK""",5,Automat
299,Cayenne Turbo,PORSCHE,CAYENNE,anthrazit mét.,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,3,2003,Benzin,450,schwarz,121000,"""Ab MFK""",5,Automat sequentiell
300,Viper RT/10,CHRYSLER,VIPER,gelb,Cabriolet,7986,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,10,1993,Benzin,364,grau,28600,"""Ab MFK""",2,Schaltgetriebe manuell
301,S 320,MERCEDES-BENZ,S 320,gelb,Limousine,3199,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,4,1999,Benzin,224,schwarz,128000,"""Ab MFK""",5,Automat
302,MR2 2.0,TOYOTA,MR2,gelb,Coupé,1997,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1990,Benzin,156,schwarz,135800,"""Ab MFK""",2,Schaltgetriebe manuell
303,Testarossa,FERRARI,TESTAR./512,gelb mét.,Coupé,4941,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1989,Benzin,380,beige,31700,null,2,Schaltgetriebe manuell
304,Corvette ZR1,CHEVROLET,CORVETTE,gold,Coupé,6162,Zuzwil,355 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,2,2010,Benzin,647,schwarz,13000,"""Ab MFK""",2,Schaltgetriebe manuell
305,M3,BMW,M3,gold mét.,Cabriolet,3999,Zuzwil,293 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,7,2008,Benzin,420,schwarz,78900,"""Ab MFK""",4,Automatisiertes Schaltgetriebe
306,CTR,RUF,null,gold mét.,Coupé,3400,Zuzwil,null,Occasion,null,null,2,null,1,1990,Benzin,469,blau,46000,"""Ab MFK""",2,null
307,R5 Turbo 2,RENAULT,R5,gold mét.,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,5,1985,Benzin,160,beige,59900,null,2,Schaltgetriebe manuell
308,Six 4.0,DAIMLER,XJ,gold mét.,Limousine,3980,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,1,1996,Benzin,241,beige,94800,"""Ab MFK""",5,Automat
309,RX-7 2.6 Turbo II,MAZDA,RX-7,grau,Cabriolet,2616,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,8,1989,Benzin,200,schwarz,67200,"""Ab MFK""",2,Schaltgetriebe manuell
310,Veyron 16.4,BUGATTI,null,anthrazit mét.,Coupé,7993,Sursee,null,Occasion,null,null,2,Allrad,7,2008,Benzin,1001,anthrazit,20000,null,2,Automatik-Getriebe
311,911 Turbo,PORSCHE,911,grau,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,10,2001,Benzin,420,schwarz,25900,"""Ab MFK""",4,Schaltgetriebe manuell
312,911 Carrera Cabrio,PORSCHE,911,grau,Cabriolet,3596,Zuzwil,270 g/km,Occasion,G,11.2 l/100km,2,Hinterradantrieb,6,2005,Benzin,325,schwarz,20400,"""Ab MFK""",2,Schaltgetriebe manuell
313,S 500 L 4Matic,MERCEDES-BENZ,S 500,grau,Limousine,4966,Zuzwil,311 g/km,Occasion,G,12.9 l/100km,4,Allrad,12,2002,Benzin,306,beige,54500,"""Ab MFK""",5,Automat
314,110 GT/SS,BUGATTI,EB,grau,Coupé,3500,Zuzwil,null,Occasion,null,null,2,Allrad,8,1998,Benzin,611,null,4000,null,2,Schaltgetriebe
315,RS6 Avant 5.0 V10 quattro,AUDI,RS6,grau,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,10,2008,Benzin,580,null,41900,"""Ab MFK""",5,Automat sequentiell
316,575M,FERRARI,575M,grau,Coupé,5748,Zuzwil,499 g/km,Occasion,null,21.8 l/100km,2,Hinterradantrieb,12,2003,Benzin,517,schwarz,8100,"""Ab MFK""",2,Automatik-Getriebe
317,RS6 Avant quattro,AUDI,RS6,grau,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,1,2003,Benzin,450,schwarz,39000,"""Ab MFK""",5,Automat sequentiell
318,S-Type 4.2 V8 S/C R,JAGUAR,S-TYPE,grau,Limousine,4196,Zuzwil,314 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,7,2002,Benzin,396,schwarz,32900,"""Ab MFK""",5,Automat
319,Spyder GT,MASERATI,SPYDER GT,grau,Cabriolet,4244,Zuzwil,400 g/km,Occasion,G,17.5 l/100km,2,Hinterradantrieb,5,2002,Benzin,390,anthrazit,63000,"""Ab MFK""",2,Automatik-Getriebe
320,911 Carrera Targa,PORSCHE,911,grau,Cabriolet,3596,Zuzwil,269 g/km,Occasion,null,11.1 l/100km,2,Hinterradantrieb,5,2002,Benzin,320,schwarz,61800,"""Ab MFK""",4,Automatik-Getriebe
321,RS6 Avant 5.0 V10 quattro,AUDI,RS6,anthrazit mét.,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,6,2008,Benzin,580,schwarz,32800,"""Ab MFK"", ""Tuning""",5,Automat sequentiell
322,F355 GTS,FERRARI,F355,grau,Cabriolet,3496,Zuzwil,395 g/km,Occasion,null,16.9 l/100km,2,Hinterradantrieb,10,1997,Benzin,380,beige,41000,"""Ab MFK""",2,Schaltgetriebe manuell
323,Quattroporte 4.2,MASERATI,QUATTROPORTE,grau,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,6,2006,Benzin,400,beige,46050,"""Ab MFK""",5,Automatisiertes Schaltgetriebe
324,E 320 Elégance 4-Matic,MERCEDES-BENZ,E 320,grau,Limousine,3199,Zuzwil,266 g/km,Occasion,G,11.1 l/100km,4,Allrad,3,2000,Benzin,224,grau,83900,"""Ab MFK""",5,Automat
325,XK8 Convertible,JAGUAR,XK,grau,Cabriolet,3996,Zuzwil,310 g/km,Occasion,G,12.1 l/100km,2,Hinterradantrieb,7,1998,Benzin,284,beige,99800,"""Ab MFK""",4,Automat
326,null,CHEVROLET,CORVETTE,grau,Coupé,5730,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1981,Benzin,0,rot,27700,"""Ab MFK""",2,Automatik-Getriebe
327,Spyder GT,MASERATI,SPYDER GT,grau,Cabriolet,4244,Zuzwil,430 g/km,Occasion,G,18.6 l/100km,2,Hinterradantrieb,6,2002,Benzin,390,beige,88500,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
328,F360 Spider,FERRARI,F360,grau,Cabriolet,3586,Zuzwil,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,9,2002,Benzin,400,blau,16600,"""Ab MFK""",2,Schaltgetriebe manuell
329,R5 1400 Alpine Turbo,RENAULT,R5,grau,Kleinwagen,1397,Zuzwil,null,Oldtimer,null,null,3,Vorderradantrieb,7,1982,Benzin,108,beige,124500,"""Ab MFK""",4,Schaltgetriebe manuell
330,575M,FERRARI,575M,grau,Coupé,5748,Zuzwil,499 g/km,Occasion,G,21.8 l/100km,2,Hinterradantrieb,12,2006,Benzin,517,schwarz,15900,"""Ab MFK""",2,Automatik-Getriebe
331,Delta HF Integrale Evo,LANCIA,DELTA,grau,Limousine,1994,Zuzwil,null,Occasion,null,null,5,Allrad,2,1992,Benzin,177,mehrfarbig,155000,"""Ab MFK""",5,Schaltgetriebe manuell
332,SL 600,MERCEDES-BENZ,SL 600,anthrazit mét.,Cabriolet,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1994,Benzin,394,grau,48700,"""Ab MFK""",2,Automat
333,Arnage R,BENTLEY,ARNAGE,grau,Limousine,6761,Zuzwil,495 g/km,Occasion,G,20.6 l/100km,4,Hinterradantrieb,4,2005,Benzin,405,mehrfarbig,145000,"""Ab MFK""",5,Automat
334,CL 500,MERCEDES-BENZ,CL 500,grau,Coupé,4966,Zuzwil,270 g/km,Neu,G,11.4 l/100km,2,Hinterradantrieb,1,2005,Benzin,306,schwarz,165,"""Ab MFK""",4,Automat sequentiell
335,E 55 AMG Avantgarde,MERCEDES-BENZ,E 55 AMG,grau,Limousine,5439,Zuzwil,301 g/km,Occasion,null,12.6 l/100km,4,Hinterradantrieb,3,1998,Benzin,354,schwarz,47400,"""Ab MFK""",5,Automat
336,Cayenne Turbo,PORSCHE,CAYENNE,grau,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,6,2003,Benzin,450,beige,68700,"""Ab MFK""",5,Automat sequentiell
337,Cayenne Turbo,PORSCHE,CAYENNE,grau,SUV / Geländewagen,4806,Zuzwil,358 g/km,Occasion,G,14.9 l/100km,5,Allrad,8,2008,Benzin,500,braun,28000,"""Ab MFK""",5,Automat
338,SL 600,MERCEDES-BENZ,SL 600,grau,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,3,2004,Benzin,500,anthrazit,20000,"""Ab MFK""",2,Automat
339,RS6 Avant 5.0 V10 quattro MTM,AUDI,RS6,grau,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,9,2008,Benzin,580,schwarz,24600,"""Ab MFK""",5,Automat
340,100/Six BN6 Roadster,AUSTIN-HEALEY,null,grau,Cabriolet,2912,Safenwil,null,Oldtimer,null,null,2,Hinterradantrieb,1,1959,Benzin,130,schwarz,16900,"""Ab MFK""",2,Schaltgetriebe manuell
341,CTR 2 Sport,RUF,null,grau,Coupé,3600,Zuzwil,null,Occasion,null,null,2,Allrad,10,1997,Benzin,580,schwarz,20900,null,2,Schaltgetriebe manuell
342,911 Turbo,PORSCHE,911,grau mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,6,2002,Benzin,420,blau,52900,"""Ab MFK"", ""Tuning""",4,Schaltgetriebe manuell
343,Turbo R,BENTLEY,TURBO,anthrazit mét.,Limousine,6749,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,4,1990,Benzin,320,blau,112500,"""Ab MFK""",5,Automat
344,911 Carrera S Cabrio,PORSCHE,911,grau mét.,Cabriolet,3824,Zuzwil,280 g/km,Occasion,G,11.6 l/100km,2,Hinterradantrieb,3,2006,Benzin,355,schwarz,29500,"""Ab MFK""",2,Schaltgetriebe manuell
345,535i Touring,BMW,535,grau mét.,Kombi,2979,Zuzwil,179 g/km,Occasion,F,7.7 l/100km,5,Hinterradantrieb,7,2011,Benzin,306,beige,76500,"""Ab MFK""",5,Automat sequentiell
346,911 Turbo,PORSCHE,911,grau mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,9,2003,Benzin,420,blau,63300,"""Ab MFK""",4,Schaltgetriebe manuell
347,Cayenne Turbo,PORSCHE,CAYENNE,grau mét.,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,9,2004,Benzin,450,schwarz,31000,"""Ab MFK""",5,Automat sequentiell
348,Celica 2800 i Supra,TOYOTA,CELICA,grau mét.,Coupé,2759,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,3,1983,Benzin,170,grau,158000,"""Ab MFK""",5,Schaltgetriebe manuell
349,911 Turbo,PORSCHE,911,grau mét.,Coupé,3600,Zuzwil,null,Occasion,null,15.7 l/100km,2,Allrad,5,1996,Benzin,408,schwarz,88100,null,2,Schaltgetriebe manuell
350,1600 SX,RENAULT,Alpine A110,grau mét.,Coupé,1635,Zuzwil,null,Occasion,null,null,2,null,6,1977,Benzin,120,null,41400,"""Ab MFK""",2,Schaltgetriebe
351,SL 350,MERCEDES-BENZ,SL 350,grau mét.,Cabriolet,3724,Zuzwil,281 g/km,Occasion,G,11.7 l/100km,2,Hinterradantrieb,5,2004,Benzin,245,mehrfarbig,105300,"""Ab MFK""",2,Automat
352,Range Rover 4.6 HSE,LAND ROVER,RANGE ROVER,grau mét.,SUV / Geländewagen,4554,Zuzwil,414 g/km,Occasion,null,16.2 l/100km,5,Allrad,12,1996,Benzin,226,grau,54600,"""Ab MFK""",5,Automat
353,Panamera Turbo 4.8,PORSCHE,PANAMERA,grau mét.,Limousine,4806,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,5,Allrad,1,2010,Benzin,500,schwarz,47500,"""Ab MFK""",4,Automatisiertes Schaltgetriebe
354,911 Carrera,PORSCHE,911,anthrazit mét.,Cabriolet,3387,Zuzwil,304 g/km,Occasion,null,12.0 l/100km,2,Hinterradantrieb,7,1998,Benzin,300,schwarz,89500,"""Ab MFK""",4,Automat
355,RS6 Avant 5.0 V10 quattro,AUDI,RS6,grau mét.,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,3,2009,Benzin,580,schwarz,59900,"""Ab MFK""",5,Automat sequentiell
356,540i Touring,BMW,540,grau mét.,Kombi,4398,Zuzwil,308 g/km,Occasion,G,13.0 l/100km,5,Hinterradantrieb,1,1998,Benzin,286,schwarz,85800,"""Ab MFK""",5,Automat
357,Spyder GT,MASERATI,SPYDER GT,grau mét.,Cabriolet,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,6,2003,Benzin,390,schwarz,50300,"""Ab MFK""",2,Automatik-Getriebe
358,Coupé GT,MASERATI,COUPÉ GT,grau mét.,Coupé,4244,Zuzwil,400 g/km,Occasion,G,17.5 l/100km,2,Hinterradantrieb,6,2002,Benzin,390,braun,114800,"""Ab MFK""",4,Automatisiertes Schaltgetriebe
359,Huracan LP610-4 Coupé,LAMBORGHINI,HURACAN,grau mét.,Coupé,5204,Zuzwil,290 g/km,Neu,G,12.5 l/100km,2,Allrad,7,2015,Benzin,610,schwarz,300,"""Ab MFK"", ""Direkt-/Parallelimport""",2,Automatisiertes Schaltgetriebe
360,Virage,ASTON MARTIN,Virage,grau mét.,Coupé,5338,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1991,Benzin,310,grün,68800,"""Ab MFK""",4,Automatik-Getriebe
361,Punto 1.8 16V HGT,FIAT,PUNTO,grau mét.,Kleinwagen,1747,Zuzwil,197 g/km,Occasion,G,8.3 l/100km,3,Vorderradantrieb,5,2004,Benzin,131,anthrazit,75200,"""Ab MFK""",5,Schaltgetriebe manuell
362,RS6 Avant quattro,AUDI,RS6,grau mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,4,2003,Benzin,450,schwarz,32900,"""Ab MFK"", ""Tuning""",5,Automat sequentiell
363,RS6 Avant quattro,AUDI,RS6,grau mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,8,2002,Benzin,450,grau,100200,"""Ab MFK"", ""Tuning""",5,Automat sequentiell
364,X5 4.4i,BMW,X5,grau mét.,SUV / Geländewagen,4398,Zuzwil,335 g/km,Occasion,G,13.9 l/100km,5,Allrad,1,2001,Benzin,286,grau,113000,"""Ab MFK""",5,Automat sequentiell
365,Therry T22,GIOTTILINE,null,anthrazit mét.,Wohnkabine,2198,Zuzwil,null,Occasion,null,null,0,Vorderradantrieb,4,2014,Diesel,131,mehrfarbig,200,"""Ab MFK""",4,Schaltgetriebe
366,612,FERRARI,612,grau mét.,Coupé,5748,Zuzwil,470 g/km,Occasion,G,20.5 l/100km,2,Hinterradantrieb,2,2008,Benzin,540,schwarz,37000,"""Ab MFK""",4,Automatisiertes Schaltgetriebe
367,RS6 Avant 5.0 V10 quattro,AUDI,RS6,grau mét.,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,6,2008,Benzin,580,schwarz,36700,"""Ab MFK"", ""Tuning""",5,Automat sequentiell
368,911 Turbo,PORSCHE,911,grau mét.,Coupé,3600,Zuzwil,339 g/km,Occasion,G,13.9 l/100km,2,Allrad,7,2000,Benzin,420,blau,69200,"""Ab MFK""",4,Automatik-Getriebe
369,S 55 AMG,MERCEDES-BENZ,S 55 AMG,grau mét.,Limousine,5439,Zuzwil,310 g/km,Occasion,G,13.0 l/100km,4,Hinterradantrieb,7,2001,Benzin,360,schwarz,205500,"""Ab MFK""",5,Automat
370,R8 Coupé 4.2,AUDI,R8,grau mét.,Coupé,4163,Zuzwil,325 g/km,Occasion,G,13.6 l/100km,2,Allrad,6,2007,Benzin,420,schwarz,65000,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
371,CLK 63 AMG Black Series,MERCEDES-BENZ,CLK 63 AMG,grau mét.,Coupé,6209,Zuzwil,369 g/km,Occasion,G,15.3 l/100km,2,Hinterradantrieb,7,2008,Benzin,507,schwarz,36000,"""Ab MFK""",2,Automat sequentiell
372,Continental GTC 6.0,BENTLEY,CONTINENTAL,grau mét.,Cabriolet,5998,Zuzwil,410 g/km,Occasion,G,17.1 l/100km,2,Allrad,2,2007,Benzin,560,mehrfarbig,58000,"""Ab MFK""",4,Automat
373,RS6 Avant quattro,AUDI,RS6,grau mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,1,2004,Benzin,450,schwarz,93500,"""Ab MFK""",5,Automat sequentiell
374,F550 Maranello,FERRARI,F550,grau mét.,Coupé,5474,Zuzwil,530 g/km,Occasion,null,22.9 l/100km,2,Hinterradantrieb,5,1997,Benzin,485,schwarz,62000,"""Ab MFK""",2,Schaltgetriebe manuell
375,DBS Coupé,ASTON MARTIN,DBS,grau mét.,Coupé,5935,Zuzwil,388 g/km,Occasion,G,16.4 l/100km,2,Hinterradantrieb,4,2012,Benzin,517,schwarz,5000,"""Ab MFK""",2,Schaltgetriebe manuell
376,RS6 Avant quattro,AUDI,RS6,anthrazit,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,10,2002,Benzin,450,beige,38500,"""Ab MFK""",5,Automat sequentiell
377,SL 500,MERCEDES-BENZ,SL 500,anthrazit mét.,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,4,1998,Benzin,320,schwarz,48300,"""Ab MFK""",0,Automat
378,S 500,MERCEDES-BENZ,S 500,grau mét.,Limousine,4966,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,9,1999,Benzin,299,schwarz,112800,"""Ab MFK""",5,Automat
379,E 500 Limited,MERCEDES-BENZ,E 500,grau mét.,Limousine,4971,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,6,1994,Benzin,320,schwarz,206000,"""Ab MFK""",4,Automat
380,CL 65 AMG,MERCEDES-BENZ,CL 65 AMG,grau mét.,Coupé,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,2,Hinterradantrieb,1,2006,Benzin,612,schwarz,19800,"""Ab MFK""",4,Automat sequentiell
381,SL 500 Special Edition,MERCEDES-BENZ,SL 500,grau mét.,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1996,Benzin,320,schwarz,55200,"""Ab MFK""",2,Automat
382,Gallardo LP560-4 Coupé,LAMBORGHINI,GALLARDO,grau mét.,Coupé,5204,Zuzwil,325 g/km,Occasion,G,13.7 l/100km,2,Allrad,1,2009,Benzin,560,schwarz,24000,"""Ab MFK""",2,Automatisiertes Schaltgetriebe
383,Boxster S 3.4,PORSCHE,BOXSTER,grau mét.,Cabriolet,3387,Zuzwil,254 g/km,Occasion,G,10.6 l/100km,2,Hinterradantrieb,2,2007,Benzin,295,schwarz,68900,"""Ab MFK""",2,Schaltgetriebe manuell
384,Phaeton 4.2 V8 4Motion,VW,PHAETON,grau mét.,Limousine,4172,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Allrad,11,2003,Benzin,335,schwarz,119000,"""Ab MFK""",5,Automat sequentiell
385,612,FERRARI,612,grau mét.,Coupé,5748,Zuzwil,475 g/km,Occasion,G,20.7 l/100km,2,Hinterradantrieb,7,2004,Benzin,540,null,45000,"""Ab MFK""",4,Automatisiertes Schaltgetriebe
386,RS6 Avant 5.0 V10 quattro,AUDI,RS6,grau mét.,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,6,2008,Benzin,580,schwarz,14000,"""Ab MFK""",5,Automat
387,911 Carrera,PORSCHE,911,grau mét.,Coupé,3387,Zuzwil,290 g/km,Occasion,G,12.0 l/100km,2,Hinterradantrieb,4,2001,Benzin,300,beige,135800,"""Ab MFK""",4,Automat
388,911 Turbo,PORSCHE,911,anthrazit mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,11,2001,Benzin,420,schwarz,47600,"""Ab MFK"", ""Tuning""",4,Schaltgetriebe manuell
389,R8 Gordini,RENAULT,null,grau mét.,Kleinwagen,0,Zuzwil,null,Oldtimer,null,null,0,null,4,1969,null,0,schwarz,45000,"""Ab MFK""",0,Schaltgetriebe
390,S 500 L,MERCEDES-BENZ,S 500,grau mét.,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,5,1999,Benzin,306,grau,32700,"""Ab MFK""",5,Automat
391,323i Sport Edition,BMW,323,grau mét.,Limousine,2494,Zuzwil,221 g/km,Occasion,null,9.2 l/100km,4,Hinterradantrieb,7,1997,Benzin,170,mehrfarbig,82500,"""Ab MFK""",5,Schaltgetriebe manuell
392,CL 500 4Matic,MERCEDES-BENZ,CL 500,grau mét.,Coupé,4663,Zuzwil,242 g/km,Occasion,G,10.1 l/100km,2,Allrad,1,2011,Benzin,435,beige,79500,"""Ab MFK""",4,Automat sequentiell
393,New Beetle Cup,VW,BEETLE,grau mét.,Limousine,2792,Zuzwil,null,Occasion,null,null,2,Vorderradantrieb,9,2000,Benzin,204,null,1,"""Rennwagen""",2,Schaltgetriebe
394,Cayenne Turbo,PORSCHE,CAYENNE,grau mét.,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,4,2003,Benzin,450,schwarz,127000,"""Ab MFK""",5,Automat sequentiell
395,S 500 L,MERCEDES-BENZ,S 500,grau mét.,Limousine,4973,Zuzwil,353 g/km,Occasion,null,15.4 l/100km,4,Hinterradantrieb,6,1998,Benzin,320,schwarz,128800,"""Ab MFK""",5,Automat
396,SL 55 AMG,MERCEDES-BENZ,SL 55 AMG,grau mét.,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,6,2002,Benzin,476,rot,6000,"""Ab MFK""",2,Automat
397,RS6 Avant quattro,AUDI,RS6,grau mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,11,2002,Benzin,450,beige,38500,"""Ab MFK""",5,Automat sequentiell
398,GT,MG,MGC,grau mét.,Coupé,2912,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,8,1968,Benzin,135,mehrfarbig,48800,"""Ab MFK""",4,Schaltgetriebe
399,A8 4.2 quattro,AUDI,A8,anthrazit mét.,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,9,1997,Benzin,300,schwarz,125400,null,5,Automat
400,null,PORSCHE,924,grau mét.,Coupé,1983,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1978,Benzin,125,braun,51000,"""Ab MFK""",4,Schaltgetriebe manuell
401,T - Roadster,FORD,null,grau mét.,Coupé,2884,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,1,1927,Benzin,0,schwarz,1,null,2,Schaltgetriebe
402,CLK 430 Elégance,MERCEDES-BENZ,CLK 430,grau mét.,Coupé,4266,Zuzwil,278 g/km,Vorführmodell,G,11.6 l/100km,2,Hinterradantrieb,1,2001,Benzin,279,grau,100,"""Ab MFK""",4,Automat
403,Golf 2.0 TSI R 4Motion,VW,GOLF,grau mét.,Limousine,1984,Zuzwil,199 g/km,Occasion,G,8.5 l/100km,5,Allrad,3,2011,Benzin,270,schwarz,36300,"""Ab MFK""",5,Schaltgetriebe manuell
404,911 Carrera RS Clubsport/993 GT2,PORSCHE,911,grau mét.,Coupé,3744,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1996,Benzin,300,schwarz,91000,"""Ab MFK""",2,Schaltgetriebe manuell
405,Defender 90 2.4Td4 SW,LAND ROVER,DEFENDER,grau mét.,Kombi,2402,Zuzwil,266 g/km,Occasion,null,10.0 l/100km,3,Allrad,2,2011,Diesel,122,schwarz,50400,"""Ab MFK"", ""Direkt-/Parallelimport""",4,Schaltgetriebe manuell
406,S 65 AMG L,MERCEDES-BENZ,S 65 AMG,grau mét.,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,3,2006,Benzin,612,schwarz,39800,"""Ab MFK""",5,Automat sequentiell
407,ML 63 AMG 4Matic,MERCEDES-BENZ,ML 63 AMG,grau mét.,SUV / Geländewagen,6209,Zuzwil,392 g/km,Occasion,G,16.5 l/100km,5,Allrad,3,2009,Benzin,510,schwarz,88500,"""Ab MFK""",5,Automat sequentiell
408,S6 quattro 4.2,AUDI,S6,grau mét.,Limousine,4170,Zuzwil,366 g/km,Occasion,null,15.4 l/100km,4,Allrad,5,1998,Benzin,290,grau,54500,"""Ab MFK""",5,Schaltgetriebe manuell
