,carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,milage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
205,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,1990,0.0,,190,190 E 2.5-16 ABS,False,car,,10,
206,Limousine,Blue,Occasion,,,Zuzwil,,BMW,1974,0.0,,2002,Turbo,False,car,,1,
207,Coupé,Blue,Occasion,,,Zuzwil,,Ford ,2015,0.0,,MUSTANG,5.0 GT Premium 50 Years,False,car,,4,l_km_consumption
208,Coupé,Blue,Occasion,,,Zuzwil,,Lamborghini,2009,0.0,,GALLARDO,Gallardo LP550-2 Cpé V.B.,False,car,,9,l_km_consumption
209,Cabriolet,Blue,Occasion,,,Porrentruy,,Ferrari,2007,0.0,,F430,F430 Spider,False,car,,6,l_km_consumption
210,SUV,Anthracite,Occasion,,,Zuzwil,,Land Rover,2007,0.0,,RANGE ROVER,Range Rover 3.6 d HSE,False,car,,2,l_km_consumption
211,Coupé,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2001,0.0,,CL 500,CL 500,False,car,,12,l_km_consumption
212,Limousine,Blue,Occasion,,,Zuzwil,,Maserati,2009,0.0,,QUATTROPORTE,Quattroporte 4.7 S,False,car,,2,l_km_consumption
213,Station Wagon,Blue,Occasion,,,Zuzwil,,BMW,2004,0.0,,530,530d Touring,False,car,,11,l_km_consumption
214,Cabriolet,Blue,Occasion,,,Zuzwil,,VW,2007,0.0,,EOS,Eos 2.0 FSI T,False,car,,9,l_km_consumption
215,Limousine,Blue,Occasion,,,Zuzwil,,Audi,2004,0.0,,A6,A6 4.2 V8 quattro,False,car,,3,l_km_consumption
216,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,1998,0.0,,E 55 AMG,E 55 AMG Avantgarde,False,car,,2,l_km_consumption
217,Cabriolet,Blue,Occasion,,,Zuzwil,,Porsche,1999,0.0,,911,911 Carrera Cabrio,False,car,,1,l_km_consumption
218,SUV,Blue,Occasion,,,Zuzwil,,BMW,2004,0.0,,X3,X3 3.0i,False,car,,10,l_km_consumption
219,Cabriolet,Blue,Occasion,,,Zuzwil,,Bmw-Alpina,2007,0.0,,6 SERIES,B6 4.4 V8 Cabrio,False,car,,4,l_km_consumption
220,Limousine,Blue,Occasion,,,Zuzwil,,BMW,1998,0.0,,540,540i,False,car,,11,l_km_consumption
221,Cabriolet,Anthracite,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,SL 55 AMG,SL 55 AMG,False,car,,6,l_km_consumption
222,Cabriolet,Blue,Occasion,,,Zuzwil,,Porsche,2000,0.0,,BOXSTER,Boxster S 3.2,False,car,,4,l_km_consumption
223,Coupé,Blue,New,,,Zuzwil,,Ferrari,2015,0.0,,458,458 Italia 4.5 V8 Speciale,False,car,,1,l_km_consumption
224,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,1996,0.0,,E 420,E 420 Elégance,False,car,,6,l_km_consumption
225,SUV,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2013,0.0,,ML 63 AMG,ML 63 AMG 4Matic,False,car,,1,l_km_consumption
226,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,1998,0.0,,E 55 AMG,E 55 AMG Avantgarde,False,car,,10,l_km_consumption
227,Coupé,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,1993,0.0,,S 600,S 600,False,car,,8,
228,Cabriolet,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,1998,0.0,,SLK 230,SLK 230 Kompressor,False,car,,7,l_km_consumption
229,Coupé,Blue,Occasion,,,Zuzwil,,Lotus,2002,0.0,,ESPRIT,Esprit 3.5 V8 SE,False,car,,7,l_km_consumption
230,Limousine,Blue,Occasion,,,Zuzwil,,Subaru,2006,0.0,,IMPREZA,Impreza 2.5T WRX,False,car,,4,l_km_consumption
231,Coupé,Blue,Occasion,,,Zuzwil,,Aston Martin,1998,0.0,,DB7,DB7,False,car,,4,l_km_consumption
232,SUV,Anthracite,Occasion,,,Zuzwil,,Land Rover,2012,0.0,,RANGE ROVER,Range Rover 4.4TD Vogue,False,car,,1,l_km_consumption
233,Limousine,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2006,0.0,,S 500,S 500,False,car,,6,l_km_consumption
234,Coupé,Blue,Occasion,,,Zuzwil,,Renault,1981,0.0,,ALPINE,Alpine A310 V6,False,car,,5,
235,Station Wagon,Blue,Occasion,,,Zuzwil,,Audi,2002,0.0,,RS6,RS6 Avant quattro,False,car,,7,l_km_consumption
236,Limousine,Blue,Occasion,,,Zuzwil,,Maserati,2004,0.0,,QUATTROPORTE,Quattroporte 4.2,False,car,,6,l_km_consumption
237,Limousine,Blue,Restored,,,Zuzwil,,Renault,1976,0.0,,ALPINE,A310 1600 VG,False,car,,6,
238,Station Wagon,Blue,Occasion,,,Zuzwil,,Audi,2002,0.0,,RS6,RS6 Avant quattro,False,car,,8,l_km_consumption
239,Coupé,Blue,Occasion,,,Zuzwil,,Ferrari,2005,0.0,,F360,F360 Modena Berlinetta,False,car,,3,l_km_consumption
240,Coupé,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2000,0.0,,CL 500,CL 500,False,car,,9,l_km_consumption
241,Coupé,Blue,Occasion,,,Zuzwil,,Ferrari,2002,0.0,,575M,575M,False,car,,7,l_km_consumption
242,Coupé,Blue,Occasion,,,Zuzwil,,Volvo,2001,0.0,,C70,C70 T5,False,car,,2,l_km_consumption
243,Coupé,Anthracite,Occasion,,,Zuzwil,,Mercedes-Benz,2012,0.0,,C 63 AMG,BLACK SERIES (Coupé),False,car,,8,
244,SUV,Blue,Occasion,,,Zuzwil,,Land Rover,1998,0.0,,RANGE ROVER,Range Rover 4.6 HSE,False,car,,5,l_km_consumption
245,Coupé,Blue,Occasion,,,Zuzwil,,Toyota,1971,0.0,,CELICA,1600 GT,False,car,,8,
246,Coupé,Blue,Occasion,,,Zuzwil,,Ferrari,1999,0.0,,F360,F360 Modena Berlinetta,False,car,,8,l_km_consumption
247,Coupé,Blue,Occasion,,,Zuzwil,,Bmw-Alpina,1984,0.0,,7 SERIES,B7 Turbo Coupé,False,car,,4,
248,Cabriolet,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2008,0.0,,SLR,McLaren Roadster,False,car,,6,
249,Coupé,Blue,Occasion,,,Zuzwil,,Porsche,1985,0.0,,924,924,False,car,,5,
250,Limousine,Blue,Occasion,,,Zuzwil,,Audi,2004,0.0,,A8,A8  6.0 quattro,False,car,,7,l_km_consumption
251,Station Wagon,Blue,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,7,l_km_consumption
252,Coupé,Blue,Restored,,,Zuzwil,,Renault,1978,0.0,,ALPINE,Alpine A310 V6,False,car,,6,
253,Cabriolet,Blue,Occasion,,,Zuzwil,,BMW,2002,0.0,,M3,M3,False,car,,3,l_km_consumption
254,Limousine,Anthracite,Occasion,,,Zuzwil,,Bmw-Alpina,1999,0.0,,3 SERIES,B8,False,car,,1,
255,Cabriolet,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2003,0.0,,SL 600,SL 600,False,car,,5,l_km_consumption
256,Station Wagon,Blue,Occasion,,,Zuzwil,,Audi,2001,0.0,,RS4,RS4 Avant quattro,False,car,,2,l_km_consumption
257,Coupé,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,CLK 55 AMG,CLK 55 AMG Avantgarde,False,car,,6,l_km_consumption
258,Cabriolet,Blue,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,SLK 230,SLK 230 Kompressor,False,car,,8,l_km_consumption
259,Coupé,Blue,Occasion,,,Zuzwil,,Porsche,1996,0.0,,911,911 Carrera 4S,False,car,,3,l_km_consumption
260,Limousine,Bordeaux,Occasion,,,Zuzwil,,Mitsubishi,2003,0.0,,LANCER,Lancer Evo VII,False,car,,7,
261,Limousine,Bordeaux,Occasion,,,Zuzwil,,Mercedes-Benz,2000,0.0,,S 320,S 320,False,car,,6,l_km_consumption
262,Cabriolet,Bordeaux,Occasion,,,Zuzwil,,Mercedes-Benz,2004,0.0,,SL 600,SL 600,False,car,,4,l_km_consumption
263,Coupé,Bordeaux,Restored,,,Zuzwil,,Mercedes-Benz,1939,0.0,,null,170V B Cabrio 136,False,car,,7,
264,Limousine,Bordeaux,Occasion,,,Zuzwil,,Mercedes-Benz,2005,0.0,,S 500,S 500,False,car,,11,l_km_consumption
265,Station Wagon,Anthracite,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,7,l_km_consumption
266,Cabriolet,Anthracite,Occasion,,,Zuzwil,,Mercedes-Benz,2006,0.0,,SL 55 AMG,SL 55 AMG,False,car,,3,l_km_consumption
267,Cabriolet,Bordeaux,New,,,Zuzwil,,Porsche,2014,0.0,,911,911 Turbo S Cabrio,False,car,,5,l_km_consumption
268,Cabriolet,Bordeaux,Occasion,,,Zuzwil,,Mercedes-Benz,1993,0.0,,SL 300,SL 300,False,car,,6,
269,Limousine,Bordeaux,Occasion,,,Zuzwil,,Mercedes-Benz,2000,0.0,,S 500,S 500,False,car,,5,l_km_consumption
270,Limousine,Bordeaux,Occasion,,,Zuzwil,,Audi,2004,0.0,,A8,A8 4.2 quattro,False,car,,4,l_km_consumption
271,Coupé,Bordeaux,Occasion,,,Zuzwil,,Fiat,1970,0.0,,null,850 Spider,False,car,,8,
272,Coupé,Bordeaux,Occasion,,,Zuzwil,,Ferrari,1999,0.0,,F360,F360 Modena Berlinetta,False,car,,8,l_km_consumption
273,Limousine,Bordeaux,Occasion,,,Zuzwil,,Bentley,1979,0.0,,null,T 2,False,car,,2,
274,Limousine,Bordeaux,Occasion,,,Zuzwil,,Mercedes-Benz,1997,0.0,,E 55 AMG,E 55 AMG Avantgarde,False,car,,10,l_km_consumption
275,Cabriolet,Bordeaux,Occasion,,,Zuzwil,,BMW,2001,0.0,,M3,M3,False,car,,3,l_km_consumption
276,Station Wagon,Bordeaux,Occasion,,,Zuzwil,,Audi,1999,0.0,,A6,A6 Avant 2.7 T q.Ambiente,False,car,,9,l_km_consumption
277,Station Wagon,Anthracite,Occasion,,,Zuzwil,,Audi,2003,0.0,,RS6,RS6 Avant quattro,False,car,,7,l_km_consumption
278,Coupé,Bordeaux,Occasion,,,Zuzwil,,Ferrari,2005,0.0,,F430,F430,False,car,,6,l_km_consumption
279,Limousine,Brown,Occasion,,,Zuzwil,,Maserati,2008,0.0,,QUATTROPORTE,Quattroporte 4.2 Sport GT,False,car,,4,l_km_consumption
280,Cabriolet,Brown,Occasion,,,Zuzwil,,BMW,2008,0.0,,Z4,Z4 2.5i Roadster,False,car,,9,l_km_consumption
281,Limousine,Brown,Occasion,,,Zuzwil,,BMW,1998,0.0,,328,328i,False,car,,4,l_km_consumption
282,Limousine,Yellow,Occasion,,,Zuzwil,,Bentley,2006,0.0,,CONTINENTAL,Continental FlyingSpur6.0,False,car,,3,l_km_consumption
283,Cabriolet,Yellow,Occasion,,,Zuzwil,,Morgan,2006,0.0,,4/4,4/4 1.8,False,car,,6,l_km_consumption
284,Cabriolet,Yellow,Occasion,,,Zuzwil,,Rolls-Royce,1987,0.0,,CORNICHE,Cabrio,False,car,,6,
285,Coupé,Yellow,Occasion,,,Zuzwil,,Ferrari,1998,0.0,,F355,F355 Berlinetta,False,car,,3,l_km_consumption
286,Limousine,Yellow,Occasion,,,Zuzwil,,BMW,2005,0.0,,M5,M5,False,car,,4,l_km_consumption
287,Minivan,Yellow,Occasion,,,Zuzwil,,Daewoo,2003,0.0,,TACUMA,Tacuma 2000i CDX,False,car,,10,l_km_consumption
288,Coupé,Anthracite,Occasion,,,Zuzwil,,Renault,1971,0.0,,Alpine A110,1600S Gruppe 5 look,False,car,,1,
289,Cabriolet,Yellow,Occasion,,,Zuzwil,,Porsche,2011,0.0,,911,911 Turbo S Cabrio PDK,False,car,,4,l_km_consumption
290,Cabriolet,Yellow,Occasion,,,Zuzwil,,Porsche,1971,0.0,,911,Targa,False,car,,11,
291,Coupé,Yellow,Occasion,,,Zuzwil,,Maserati,2000,0.0,,3200 GT,3200 GT,False,car,,3,l_km_consumption
292,Limousine,Yellow,Occasion,,,Zuzwil,,Mercedes-Benz,2001,0.0,,S 400,S 400 CDI,False,car,,4,l_km_consumption
293,Coupé,Yellow,Occasion,,,Zuzwil,,Ferrari,1999,0.0,,456,456M GT,False,car,,5,l_km_consumption
294,Limousine,Yellow,Occasion,,,Zuzwil,,Audi,2001,0.0,,S6,S6 quattro,False,car,,8,l_km_consumption
295,Limousine,Yellow,Occasion,,,Zuzwil,,Mercedes-Benz,1991,0.0,,190,190 E 2.5-16 Evo II ABS,False,car,,7,
296,Limousine,Yellow,Occasion,,,Zuzwil,,Mazda,2001,0.0,,626,626 2.0i-16V HPV,False,car,,8,l_km_consumption
297,Limousine,Yellow,Restored,,,Safenwil,,Toyota,1985,0.0,,CAMRY,2000 GLi Super Liftback,False,car,,5,
298,SUV,Yellow,Occasion,,,Zuzwil,,Porsche,2006,0.0,,CAYENNE,Cayenne Turbo S,False,car,,9,l_km_consumption
299,SUV,Anthracite,Occasion,,,Zuzwil,,Porsche,2003,0.0,,CAYENNE,Cayenne Turbo,False,car,,3,l_km_consumption
300,Cabriolet,Yellow,Occasion,,,Zuzwil,,Chrysler,1993,0.0,,VIPER,Viper RT/10,False,car,,10,
301,Limousine,Yellow,Occasion,,,Zuzwil,,Mercedes-Benz,1999,0.0,,S 320,S 320,False,car,,4,l_km_consumption
302,Coupé,Yellow,Occasion,,,Zuzwil,,Toyota,1990,0.0,,MR2,MR2 2.0,False,car,,12,
303,Coupé,Yellow,Occasion,,,Zuzwil,,Ferrari,1989,0.0,,TESTAR./512,Testarossa,False,car,,1,
304,Coupé,Gold,Occasion,,,Zuzwil,,Chevrolet,2010,0.0,,CORVETTE,Corvette ZR1,False,car,,2,l_km_consumption
305,Cabriolet,Gold,Occasion,,,Zuzwil,,BMW,2008,0.0,,M3,M3,False,car,,7,l_km_consumption
306,Coupé,Gold,Occasion,,,Zuzwil,,RUF,1990,0.0,,null,CTR,False,car,,1,
307,Small Car,Gold,Occasion,,,Zuzwil,,Renault,1985,0.0,,R5,R5 Turbo 2,False,car,,5,
308,Limousine,Gold,Occasion,,,Zuzwil,,Daimler,1996,0.0,,XJ,Six 4.0,False,car,,1,
309,Cabriolet,Grey,Occasion,,,Zuzwil,,Mazda,1989,0.0,,RX-7,RX-7 2.6 Turbo II,False,car,,8,
310,Coupé,Anthracite,Occasion,,,Sursee,,Bugatti,2008,0.0,,null,Veyron 16.4,False,car,,7,
311,Coupé,Grey,Occasion,,,Zuzwil,,Porsche,2001,0.0,,911,911 Turbo,False,car,,10,l_km_consumption
312,Cabriolet,Grey,Occasion,,,Zuzwil,,Porsche,2005,0.0,,911,911 Carrera Cabrio,False,car,,6,l_km_consumption
313,Limousine,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,S 500,S 500 L 4Matic,False,car,,12,l_km_consumption
314,Coupé,Grey,Occasion,,,Zuzwil,,Bugatti,1998,0.0,,EB,110 GT/SS,False,car,,8,
315,Station Wagon,Grey,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,10,l_km_consumption
316,Coupé,Grey,Occasion,,,Zuzwil,,Ferrari,2003,0.0,,575M,575M,False,car,,12,l_km_consumption
317,Station Wagon,Grey,Occasion,,,Zuzwil,,Audi,2003,0.0,,RS6,RS6 Avant quattro,False,car,,1,l_km_consumption
318,Limousine,Grey,Occasion,,,Zuzwil,,Jaguar,2002,0.0,,S-TYPE,S-Type 4.2 V8 S/C R,False,car,,7,l_km_consumption
319,Cabriolet,Grey,Occasion,,,Zuzwil,,Maserati,2002,0.0,,SPYDER GT,Spyder GT,False,car,,5,l_km_consumption
320,Cabriolet,Grey,Occasion,,,Zuzwil,,Porsche,2002,0.0,,911,911 Carrera Targa,False,car,,5,l_km_consumption
321,Station Wagon,Anthracite,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,6,l_km_consumption
322,Cabriolet,Grey,Occasion,,,Zuzwil,,Ferrari,1997,0.0,,F355,F355 GTS,False,car,,10,l_km_consumption
323,Limousine,Grey,Occasion,,,Zuzwil,,Maserati,2006,0.0,,QUATTROPORTE,Quattroporte 4.2,False,car,,6,l_km_consumption
324,Limousine,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,2000,0.0,,E 320,E 320 Elégance 4-Matic,False,car,,3,l_km_consumption
325,Cabriolet,Grey,Occasion,,,Zuzwil,,Jaguar,1998,0.0,,XK,XK8 Convertible,False,car,,7,l_km_consumption
326,Coupé,Grey,Occasion,,,Zuzwil,,Chevrolet,1981,0.0,,CORVETTE,null,False,car,,1,
327,Cabriolet,Grey,Occasion,,,Zuzwil,,Maserati,2002,0.0,,SPYDER GT,Spyder GT,False,car,,6,l_km_consumption
328,Cabriolet,Grey,Occasion,,,Zuzwil,,Ferrari,2002,0.0,,F360,F360 Spider,False,car,,9,l_km_consumption
329,Small Car,Grey,Restored,,,Zuzwil,,Renault,1982,0.0,,R5,R5 1400 Alpine Turbo,False,car,,7,
330,Coupé,Grey,Occasion,,,Zuzwil,,Ferrari,2006,0.0,,575M,575M,False,car,,12,l_km_consumption
331,Limousine,Grey,Occasion,,,Zuzwil,,Lancia,1992,0.0,,DELTA,Delta HF Integrale Evo,False,car,,2,
332,Cabriolet,Anthracite,Occasion,,,Zuzwil,,Mercedes-Benz,1994,0.0,,SL 600,SL 600,False,car,,7,
333,Limousine,Grey,Occasion,,,Zuzwil,,Bentley,2005,0.0,,ARNAGE,Arnage R,False,car,,4,l_km_consumption
334,Coupé,Grey,New,,,Zuzwil,,Mercedes-Benz,2005,0.0,,CL 500,CL 500,False,car,,1,l_km_consumption
335,Limousine,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,1998,0.0,,E 55 AMG,E 55 AMG Avantgarde,False,car,,3,l_km_consumption
336,SUV,Grey,Occasion,,,Zuzwil,,Porsche,2003,0.0,,CAYENNE,Cayenne Turbo,False,car,,6,l_km_consumption
337,SUV,Grey,Occasion,,,Zuzwil,,Porsche,2008,0.0,,CAYENNE,Cayenne Turbo,False,car,,8,l_km_consumption
338,Cabriolet,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,2004,0.0,,SL 600,SL 600,False,car,,3,l_km_consumption
339,Station Wagon,Grey,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro MTM,False,car,,9,l_km_consumption
340,Cabriolet,Grey,Restored,,,Safenwil,,Austin-Healey,1959,0.0,,null,100/Six BN6 Roadster,False,car,,1,
341,Coupé,Grey,Occasion,,,Zuzwil,,RUF,1997,0.0,,null,CTR 2 Sport,False,car,,10,
342,Coupé,Grey,Occasion,,,Zuzwil,,Porsche,2002,0.0,,911,911 Turbo,False,car,,6,l_km_consumption
343,Limousine,Anthracite,Occasion,,,Zuzwil,,Bentley,1990,0.0,,TURBO,Turbo R,False,car,,4,
344,Cabriolet,Grey,Occasion,,,Zuzwil,,Porsche,2006,0.0,,911,911 Carrera S Cabrio,False,car,,3,l_km_consumption
345,Station Wagon,Grey,Occasion,,,Zuzwil,,BMW,2011,0.0,,535,535i Touring,False,car,,7,l_km_consumption
346,Coupé,Grey,Occasion,,,Zuzwil,,Porsche,2003,0.0,,911,911 Turbo,False,car,,9,l_km_consumption
347,SUV,Grey,Occasion,,,Zuzwil,,Porsche,2004,0.0,,CAYENNE,Cayenne Turbo,False,car,,9,l_km_consumption
348,Coupé,Grey,Occasion,,,Zuzwil,,Toyota,1983,0.0,,CELICA,Celica 2800 i Supra,False,car,,3,
349,Coupé,Grey,Occasion,,,Zuzwil,,Porsche,1996,0.0,,911,911 Turbo,False,car,,5,l_km_consumption
350,Coupé,Grey,Occasion,,,Zuzwil,,Renault,1977,0.0,,Alpine A110,1600 SX,False,car,,6,
351,Cabriolet,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,2004,0.0,,SL 350,SL 350,False,car,,5,l_km_consumption
352,SUV,Grey,Occasion,,,Zuzwil,,Land Rover,1996,0.0,,RANGE ROVER,Range Rover 4.6 HSE,False,car,,12,l_km_consumption
353,Limousine,Grey,Occasion,,,Zuzwil,,Porsche,2010,0.0,,PANAMERA,Panamera Turbo 4.8,False,car,,1,l_km_consumption
354,Cabriolet,Anthracite,Occasion,,,Zuzwil,,Porsche,1998,0.0,,911,911 Carrera,False,car,,7,l_km_consumption
355,Station Wagon,Grey,Occasion,,,Zuzwil,,Audi,2009,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,3,l_km_consumption
356,Station Wagon,Grey,Occasion,,,Zuzwil,,BMW,1998,0.0,,540,540i Touring,False,car,,1,l_km_consumption
357,Cabriolet,Grey,Occasion,,,Zuzwil,,Maserati,2003,0.0,,SPYDER GT,Spyder GT,False,car,,6,l_km_consumption
358,Coupé,Grey,Occasion,,,Zuzwil,,Maserati,2002,0.0,,COUPÉ GT,Coupé GT,False,car,,6,l_km_consumption
359,Coupé,Grey,New,,,Zuzwil,,Lamborghini,2015,0.0,,HURACAN,Huracan LP610-4 Coupé,False,car,,7,l_km_consumption
360,Coupé,Grey,Occasion,,,Zuzwil,,Aston Martin,1991,0.0,,Virage,Virage,False,car,,4,
361,Small Car,Grey,Occasion,,,Zuzwil,,Fiat,2004,0.0,,PUNTO,Punto 1.8 16V HGT,False,car,,5,l_km_consumption
362,Station Wagon,Grey,Occasion,,,Zuzwil,,Audi,2003,0.0,,RS6,RS6 Avant quattro,False,car,,4,l_km_consumption
363,Station Wagon,Grey,Occasion,,,Zuzwil,,Audi,2002,0.0,,RS6,RS6 Avant quattro,False,car,,8,l_km_consumption
364,SUV,Grey,Occasion,,,Zuzwil,,BMW,2001,0.0,,X5,X5 4.4i,False,car,,1,l_km_consumption
365,Camper Pick-up,Anthracite,Occasion,,,Zuzwil,,Giottiline,2014,0.0,,null,Therry T22,False,car,,4,
366,Coupé,Grey,Occasion,,,Zuzwil,,Ferrari,2008,0.0,,612,612,False,car,,2,l_km_consumption
367,Station Wagon,Grey,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,6,l_km_consumption
368,Coupé,Grey,Occasion,,,Zuzwil,,Porsche,2000,0.0,,911,911 Turbo,False,car,,7,l_km_consumption
369,Limousine,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,2001,0.0,,S 55 AMG,S 55 AMG,False,car,,7,l_km_consumption
370,Coupé,Grey,Occasion,,,Zuzwil,,Audi,2007,0.0,,R8,R8 Coupé 4.2,False,car,,6,l_km_consumption
371,Coupé,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,2008,0.0,,CLK 63 AMG,CLK 63 AMG Black Series,False,car,,7,l_km_consumption
372,Cabriolet,Grey,Occasion,,,Zuzwil,,Bentley,2007,0.0,,CONTINENTAL,Continental GTC 6.0,False,car,,2,l_km_consumption
373,Station Wagon,Grey,Occasion,,,Zuzwil,,Audi,2004,0.0,,RS6,RS6 Avant quattro,False,car,,1,l_km_consumption
374,Coupé,Grey,Occasion,,,Zuzwil,,Ferrari,1997,0.0,,F550,F550 Maranello,False,car,,5,l_km_consumption
375,Coupé,Grey,Occasion,,,Zuzwil,,Aston Martin,2012,0.0,,DBS,DBS Coupé,False,car,,4,l_km_consumption
376,Station Wagon,Anthracite,Occasion,,,Zuzwil,,Audi,2002,0.0,,RS6,RS6 Avant quattro,False,car,,10,l_km_consumption
377,Cabriolet,Anthracite,Occasion,,,Zuzwil,,Mercedes-Benz,1998,0.0,,SL 500,SL 500,False,car,,4,l_km_consumption
378,Limousine,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,1999,0.0,,S 500,S 500,False,car,,9,l_km_consumption
379,Limousine,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,1994,0.0,,E 500,E 500 Limited,False,car,,6,
380,Coupé,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,2006,0.0,,CL 65 AMG,CL 65 AMG,False,car,,1,l_km_consumption
381,Cabriolet,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,1996,0.0,,SL 500,SL 500 Special Edition,False,car,,4,
382,Coupé,Grey,Occasion,,,Zuzwil,,Lamborghini,2009,0.0,,GALLARDO,Gallardo LP560-4 Coupé,False,car,,1,l_km_consumption
383,Cabriolet,Grey,Occasion,,,Zuzwil,,Porsche,2007,0.0,,BOXSTER,Boxster S 3.4,False,car,,2,l_km_consumption
384,Limousine,Grey,Occasion,,,Zuzwil,,VW,2003,0.0,,PHAETON,Phaeton 4.2 V8 4Motion,False,car,,11,l_km_consumption
385,Coupé,Grey,Occasion,,,Zuzwil,,Ferrari,2004,0.0,,612,612,False,car,,7,l_km_consumption
386,Station Wagon,Grey,Occasion,,,Zuzwil,,Audi,2008,0.0,,RS6,RS6 Avant 5.0 V10 quattro,False,car,,6,l_km_consumption
387,Coupé,Grey,Occasion,,,Zuzwil,,Porsche,2001,0.0,,911,911 Carrera,False,car,,4,l_km_consumption
388,Coupé,Anthracite,Occasion,,,Zuzwil,,Porsche,2001,0.0,,911,911 Turbo,False,car,,11,l_km_consumption
389,Small Car,Grey,Restored,,,Zuzwil,,Renault,1969,0.0,,null,R8 Gordini,False,car,,4,
390,Limousine,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,1999,0.0,,S 500,S 500 L,False,car,,5,l_km_consumption
391,Limousine,Grey,Occasion,,,Zuzwil,,BMW,1997,0.0,,323,323i Sport Edition,False,car,,7,l_km_consumption
392,Coupé,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,2011,0.0,,CL 500,CL 500 4Matic,False,car,,1,l_km_consumption
393,Limousine,Grey,Occasion,,,Zuzwil,,VW,2000,0.0,,BEETLE,New Beetle Cup,False,car,,9,
394,SUV,Grey,Occasion,,,Zuzwil,,Porsche,2003,0.0,,CAYENNE,Cayenne Turbo,False,car,,4,l_km_consumption
395,Limousine,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,1998,0.0,,S 500,S 500 L,False,car,,6,l_km_consumption
396,Cabriolet,Grey,Occasion,,,Zuzwil,,Mercedes-Benz,2002,0.0,,SL 55 AMG,SL 55 AMG,False,car,,6,l_km_consumption
397,Station Wagon,Grey,Occasion,,,Zuzwil,,Audi,2002,0.0,,RS6,RS6 Avant quattro,False,car,,11,l_km_consumption
398,Coupé,Grey,Occasion,,,Zuzwil,,MG,1968,0.0,,MGC,GT,False,car,,8,
399,Limousine,Anthracite,Occasion,,,Zuzwil,,Audi,1997,0.0,,A8,A8 4.2 quattro,False,car,,9,l_km_consumption
400,Coupé,Grey,Occasion,,,Zuzwil,,Porsche,1978,0.0,,924,null,False,car,,4,
401,Coupé,Grey,Restored,,,Zuzwil,,Ford,1927,0.0,,null,T - Roadster,False,car,,1,
402,Coupé,Grey,Demonstration,,,Zuzwil,,Mercedes-Benz,2001,0.0,,CLK 430,CLK 430 Elégance,False,car,,1,l_km_consumption
403,Limousine,Grey,Occasion,,,Zuzwil,,VW,2011,0.0,,GOLF,Golf 2.0 TSI R 4Motion,False,car,,3,l_km_consumption
404,Coupé,Grey,Occasion,,,Zuzwil,,Porsche,1996,0.0,,911,911 Carrera RS Clubsport/993 GT2,False,car,,4,
405,Station Wagon,Grey,Occasion,,,Zuzwil,,Land Rover,2011,0.0,,DEFENDER,Defender 90 2.4Td4 SW,False,car,,2,l_km_consumption
